Problem,Good_1,Good_2,Good_3,Good_4,Avoid_1,Avoid_2,Avoid_3,Avoid_4
Acne,Salicylic Acid,Niacinamide,Tea Tree Oil,Zinc PCA,Heavy oils,Coconut oil,Alcohol,Fragrance
Dry Skin,Hyaluronic Acid,Ceramides,Glycerin,Squalane,Fragrance,Sulfates,Alcohol,Strong soaps
Oily Skin,Niacinamide,Green Tea,Clay,Witch Hazel,Thick creams,Mineral oil,Greasy lotions,Alcohol
Pigmentation,Vitamin C,Alpha Arbutin,Kojic Acid,Licorice Extract,Harsh scrubs,Lemon extracts,Alcohol,Over exfoliation
Sensitive Skin,Aloe Vera,Oat Extract,Panthenol,Centella Asiatica,Fragrance,Alcohol,Essential oils,Strong acids
Dull Skin,Vitamin C,Lactic Acid,Niacinamide,Glycolic Acid,Soap cleansers,Rough exfoliants,Alcohol,Over scrubbing
Dark Circles,Caffeine,Vitamin K,Hyaluronic Acid,Peptides,Fragrance,Rubbing alcohol,Strong retinol,Heavy perfumes
Sun Damage,Vitamin C,Niacinamide,Sunscreen,Antioxidants,No SPF,Tanning oils,Harsh acids,Over sun exposure
Uneven Texture,Retinol,Lactic Acid,Salicylic Acid,PHA,Over exfoliation,Scrubs,Strong peels,Alcohol
Dehydrated Skin,Hyaluronic Acid,Glycerin,Aloe Vera,Ceramides,Alcohol,Foaming cleansers,Strong soaps,Hot water
